지우	"저도 그런 부탁을 받게 되어 정말 기뻤어요. '그럼 저를 위해서든,' 삼촌이 대답했어. '아니면 [MASK]를 위해서든, 혹은 우리 둘 다를 위해서든요. 내일이 누구 생일인 것 같거든요.'"
정조	"나는 [MASK]의 부인이 의심조차 받지 말아야 하는 것처럼, 나 자신도 그 어떤 의혹보다 높은 곳에 있다고 느낀다네." 그의 가벼운 태도와 마치 공을 던지듯 문제를 다루는 공정함은 그 누구도 따라올 수 없는 것이었지!
구자경	그놈의 음침한 표정 때문에 그녀는 종종 꿈을 꿨어. 그놈이 주머니에서 손도끼를 꺼내 [MASK]의 머리를 찍어버리는 꿈 말이야. (아이는 두려움도 없이 그놈 뒤를 졸졸 따라다니며 사사건건 놀려댔지.)
은수	"진정한 우정은 드물고, 불행히도 너무 늦을 때까지 진지하게 생각하지 못하는 사람들이 많아요." [MASK]은 그런 감정이 주는 비참함을 뼈저리게 느꼈어.
은수	그날 아침, [MASK]은 아버지와 단둘이 있게 되자 아버지가 그녀의 외모를 칭찬하기 시작했어. 아버지는 그녀의 얼굴 살이 좀 올랐고, 피부 결이나 안색이 전보다 훨씬 맑고 생기 있어 보인다고 생각했지.
준우	"저는 [MASK]과 6주 동안 함께 지냈고, 그가 행복해하는 걸 보았습니다. 제겐 그보다 더한 즐거움은 없었고, 가질 자격도 없었죠. 그는 당신의 안부를 아주 자세히 물었습니다. 당신이 변했을지 궁금해하더군요. 제 눈엔 당신이 절대 변할 리 없다는 걸 꿈에도 모른 채 말이죠."
은수	하지만 그녀는 자신이 누군가에게 상처를 주고 있다는 사실을 전혀 눈치채지 못했어. "몰라볼 정도로 변했네." [MASK]은 깊은 수치심 속에서 그 말을 묵묵히 받아들였어. 의심할 여지 없이 사실이었고, 그는 변하지 않았기에 그녀에게 복수할 수도 없었지.
지수	"그를 정말 사랑했어요! 당신이 그를 가졌어도 상관없었죠. 하지만 이즈에 관한 건 너무하잖아요!" 몽롱한 목소리로 그녀가 말했어. 그 말에 너무 놀란 [MASK]은 낫으로 손가락을 자를 뻔했어.
지수	"우리 가족을 위한 마차였을지도 몰라!" 마침내 결심을 굳힌 [MASK]은 덜 불안해 보였어. 아버지를 위해 다른 말을 구할 수 있다는 생각에, 그녀는 그리 힘들지 않은 일을 하며 평소처럼 자기 일을 해나갔지.
지수	다른 일꾼들 사이에서 [MASK]의 차분하고 풍성한 목소리가 들려오자마자, 어둠의 여왕이라 불리는 여자는 오랫동안 억눌러왔던 경쟁심에 불타올랐어. 그녀는 자리에서 벌떡 일어나 자기가 싫어하는 그 대상을 정면으로 쏘아보았지.
