그린고트	"해그리드는 보통 나한테 중요한 일을 맡기곤 하시지. 너를 데려오는 거나, [MASK]에서 물건을 찾는 일 같은 거 말이야. 나를 그만큼 믿으신다는 뜻이지, 알겠니?"
용	2. 평범한 뾰족모자 (검정색) 1개 3. 보호용 장갑 1켤레 ([MASK] 가죽 소재 혹은 그와 유사한 것)
리키	사람들의 시선은 한쪽의 커다란 서점에서 반대편의 음반 가게로 옮겨갈 뿐, 마치 그 사이에 있는 [MASK] 콜드런은 아예 보이지 않는 듯했다.
퀴럴	그는 생각만 해도 겁에 질린 표정이었다. 하지만 다른 교수들은 [MASK] 교수님이 해리를 독점하게 내버려 두지 않았다. 그들에게서 벗어나는 데만 거의 10분이 걸렸다.
올리밴더	해리는 지팡이를 집어 들고 (바보 같다는 기분을 느끼며) 이리저리 휘둘러 보았지만, [MASK] 씨는 즉시 지팡이를 낚아채 갔다.
퀴디치	우드가 시키는 막판 [MASK] 연습 때문에 정신이 하나도 없었지만, 헤르미온느가 없었다면 그 많은 숙제를 어떻게 다 끝냈을지 상상도 할 수 없었다.
말포이	그는 재빨리 안으로 몸을 날린 뒤 문을 닫고, 틈새로 밖을 엿보았다. 잠시 후 종소리가 울리더니 [MASK]가 가게 안으로 걸어 들어왔다.
제한령	"미성년 마법사라도 진짜 비상 상황이라면 마법을 써도 돼. 미성년 마법 [MASK] 제19조인가에 그렇게 나와 있을걸—"
맥고나걸	하지만 이런 생각을 곱씹을 여유는 없었다. [MASK] 교수님이 앞장서서 움직이고 있었기 때문이다.
폼프리	그녀를 한 번이라도 슬쩍 보려는 학생들이 병동 앞을 너무 많이 지나다니는 바람에, [MASK] 부인은 다시 커튼을 쳐야만 했다.
스네이프	"난쟁이들이 오늘 학교 곳곳을 누비며 여러분의 발렌타인 카드를 배달할 겁니다! 즐거움은 여기서 끝이 아니죠! 제 동료 교수님들도 이 축제 분위기에 동참하고 싶어 하실 겁니다! [MASK] 교수님께 '사랑의 묘약'을 만드는 법을 알려달라고 하는 건 어떨까요!"
덤블도어	하지만 해리는 그것이 예전에 자신이 [MASK] 교수님께 했던 것과 똑같은 종류의 "거절"임을 확신했다.
리들	그들은 5분 정도 발소리를 따라갔. 그러다 [MASK]이 갑자기 멈춰 서더니, 새로운 소리가 들리는 쪽으로 고개를 기울였다.
아즈카반	마지 고모를 풍선처럼 부풀린 게 [MASK]에 갈 정도로 큰 잘못이었을까?
파르바티	다시 한번 펑 소리가 나더니, 그가 서 있던 자리에는 피 묻은 붕대를 감은 미라가 나타났다. 미라는 초점 없는 얼굴로 [MASK]를 향해 아주 천천히 걷기 시작했다.
광택제	해리는 그녀가 떠난 뒤에도 '고급 빗자루 [MASK]' 통을 손에 꽉 쥔 채 멍하니 서 있었다.
퀴디치	"온 나라가 그를 찾으려고 눈에 불을 켜고 있는데! 어떻게 아무렇지도 않게 '일품 [MASK] 용품점'에 걸어 들어가 빗자루를 살 수 있지?"
루핀	쓰리 브룸스틱스에서 들었던 블랙에 관한 대화를 [MASK] 교수님께 말씀드리고 싶었다.
덤블도어	웅성거리는 소리가 점점 더 커졌다. 한 시간처럼 느껴지는 시간이 흐른 뒤, 해리는 모든 선생님의 시선을 받으며 [MASK] 교수님 바로 앞에 섰다.
트리위저드	"믿기 힘들겠지만—네 번째 [MASK] 챔피언을 소개해도 될까요?"
해독	고무로 된 머리 없는 [MASK]와 관련이 있는 일이라 짐작하며, 해리는 침울한 표정으로 교수님 책상으로 향했다.
해그리드	그녀는 줄 끝까지 걸어가 원래 [MASK]가 앉아야 했을 자리에 앉았다.
시무스	해리는 [MASK]가 입을 열어 무언가 말하려 했다는 인상을 받았지만, 더 속도를 내서 지나갔다.
보우트럭클	학생들은 좀 떨어진 잔디밭에 쭈그리고 앉아, 그림을 그릴 수 있게 [MASK]을 가만히 서 있도록 달래고 있었다.
해리	목적지에 도착했을 때 그곳은 텅 비어 있었다. [MASK]는 방 안으로 들어갈 기회가 지금이 더 좋을지 확신이 서지 않았다.
말포이	"내가 그런 주문을 쓰지 않았을 거라는 건 너도 알잖아. 상대가 [MASK]라고 해도 말이야. 하지만 '혼혈 왕자'를 탓할 순 없어."
바틸다	"직접 만든 가마솥 케이크를 들고 환영 인사를 하러 갔더니 내 면전에서 문을 쾅 닫아버리더군." [MASK] 할머니가 말했다.
순간이동	"참고로 말하는데, 우리 중 누구도 [MASK]을 하진 않았어." 헤르미온느가 말했다.
제임스	그가 대문을 밀어 열자 끼익 소리가 났지만, [MASK] 포터는 듣지 못했다.
징크스	헤르미온느가 쏜 [MASK] 때문에 그의 얼굴은 이목구비를 알아볼 수 없을 정도로 거대하고 번들거리며 분홍색으로 변해 있었다.
